model,condition,challenge_type,false_fill_rate,null_recall,distractor_error_rate,supported_accuracy,field_faithfulness_rate
LiquidAI/LFM2-350M-Extract,C0,AMBIGUOUS,0.925,0.075,,0.94125,0.768
LiquidAI/LFM2-350M-Extract,C0,CONTRADICTORY,0.995,0.005,,0.94875,0.76
LiquidAI/LFM2-350M-Extract,C0,DISTRACTOR,,,0.005,0.95625,0.952
LiquidAI/LFM2-350M-Extract,C0,MISSING,0.375,0.625,,0.91875,0.86
LiquidAI/LFM2-350M-Extract,C0,SUPPORTED,,,,0.973,0.973
LiquidAI/LFM2-350M-Extract,C1,AMBIGUOUS,0.92,0.08,,0.94375,0.771
LiquidAI/LFM2-350M-Extract,C1,CONTRADICTORY,0.96,0.04,,0.91125,0.737
LiquidAI/LFM2-350M-Extract,C1,DISTRACTOR,,,0.01,0.88875,0.886
LiquidAI/LFM2-350M-Extract,C1,MISSING,0.345,0.655,,0.96125,0.9
LiquidAI/LFM2-350M-Extract,C1,SUPPORTED,,,,0.985,0.985
LiquidAI/LFM2-350M-Extract,C2,AMBIGUOUS,0.94,0.06,,0.96625,0.785
LiquidAI/LFM2-350M-Extract,C2,CONTRADICTORY,0.965,0.035,,0.8875,0.717
LiquidAI/LFM2-350M-Extract,C2,DISTRACTOR,,,0.01,0.8925,0.891
LiquidAI/LFM2-350M-Extract,C2,MISSING,0.29,0.71,,0.965,0.914
LiquidAI/LFM2-350M-Extract,C2,SUPPORTED,,,,0.983,0.983
LiquidAI/LFM2-350M-Extract,C3,AMBIGUOUS,0.995,0.005,,0.98875,0.792
LiquidAI/LFM2-350M-Extract,C3,CONTRADICTORY,0.97,0.03,,0.94625,0.763
LiquidAI/LFM2-350M-Extract,C3,DISTRACTOR,,,0.015,0.905,0.901
LiquidAI/LFM2-350M-Extract,C3,MISSING,0.095,0.905,,0.97375,0.96
LiquidAI/LFM2-350M-Extract,C3,SUPPORTED,,,,0.979,0.979
LiquidAI/LFM2-350M-Extract,C4,AMBIGUOUS,0.685,0.315,,0.6175,0.557
LiquidAI/LFM2-350M-Extract,C4,CONTRADICTORY,0.64,0.36,,0.56375,0.523
LiquidAI/LFM2-350M-Extract,C4,DISTRACTOR,,,0.02,0.57875,0.562
LiquidAI/LFM2-350M-Extract,C4,MISSING,0.64,0.36,,0.5825,0.538
LiquidAI/LFM2-350M-Extract,C4,SUPPORTED,,,,0.63,0.63
LiquidAI/LFM2-350M-Extract,C5,AMBIGUOUS,0.995,0.005,,0.98875,0.792
LiquidAI/LFM2-350M-Extract,C5,CONTRADICTORY,0.985,0.015,,0.9675,0.777
LiquidAI/LFM2-350M-Extract,C5,DISTRACTOR,,,0.015,0.9625,0.958
LiquidAI/LFM2-350M-Extract,C5,MISSING,0.095,0.905,,0.97375,0.96
LiquidAI/LFM2-350M-Extract,C5,SUPPORTED,,,,0.979,0.979
LiquidAI/LFM2-350M-Extract@int4,C0,AMBIGUOUS,0.915,0.085,,0.975,0.797
LiquidAI/LFM2-350M-Extract@int4,C0,CONTRADICTORY,1.0,0.0,,0.94375,0.755
LiquidAI/LFM2-350M-Extract@int4,C0,DISTRACTOR,,,0.02,0.95,0.943
LiquidAI/LFM2-350M-Extract@int4,C0,MISSING,0.34,0.66,,0.89125,0.845
LiquidAI/LFM2-350M-Extract@int4,C0,SUPPORTED,,,,0.957,0.957
LiquidAI/LFM2-350M-Extract@int4,C1,AMBIGUOUS,0.935,0.065,,0.9825,0.799
LiquidAI/LFM2-350M-Extract@int4,C1,CONTRADICTORY,0.995,0.005,,0.95125,0.762
LiquidAI/LFM2-350M-Extract@int4,C1,DISTRACTOR,,,0.015,0.92625,0.924
LiquidAI/LFM2-350M-Extract@int4,C1,MISSING,0.555,0.445,,0.97,0.865
LiquidAI/LFM2-350M-Extract@int4,C1,SUPPORTED,,,,0.968,0.968
LiquidAI/LFM2-350M-Extract@int4,C2,AMBIGUOUS,0.89,0.11,,0.98125,0.807
LiquidAI/LFM2-350M-Extract@int4,C2,CONTRADICTORY,1.0,0.0,,0.955,0.764
LiquidAI/LFM2-350M-Extract@int4,C2,DISTRACTOR,,,0.015,0.9375,0.934
LiquidAI/LFM2-350M-Extract@int4,C2,MISSING,0.47,0.53,,0.95875,0.873
LiquidAI/LFM2-350M-Extract@int4,C2,SUPPORTED,,,,0.967,0.967
LiquidAI/LFM2-350M-Extract@int4,C3,AMBIGUOUS,0.98,0.02,,0.985,0.792
LiquidAI/LFM2-350M-Extract@int4,C3,CONTRADICTORY,0.975,0.025,,0.9525,0.767
LiquidAI/LFM2-350M-Extract@int4,C3,DISTRACTOR,,,0.01,0.945,0.942
LiquidAI/LFM2-350M-Extract@int4,C3,MISSING,0.205,0.795,,0.9625,0.929
LiquidAI/LFM2-350M-Extract@int4,C3,SUPPORTED,,,,0.962,0.962
LiquidAI/LFM2-350M-Extract@int4,C4,AMBIGUOUS,0.71,0.29,,0.6975,0.616
LiquidAI/LFM2-350M-Extract@int4,C4,CONTRADICTORY,0.535,0.465,,0.405,0.417
LiquidAI/LFM2-350M-Extract@int4,C4,DISTRACTOR,,,0.01,0.5775,0.569
LiquidAI/LFM2-350M-Extract@int4,C4,MISSING,0.655,0.345,,0.5675,0.523
LiquidAI/LFM2-350M-Extract@int4,C4,SUPPORTED,,,,0.518,0.518
LiquidAI/LFM2-350M-Extract@int8,C0,AMBIGUOUS,0.89,0.11,,0.915,0.754
LiquidAI/LFM2-350M-Extract@int8,C0,CONTRADICTORY,0.995,0.005,,0.95,0.761
LiquidAI/LFM2-350M-Extract@int8,C0,DISTRACTOR,,,0.005,0.96375,0.959
LiquidAI/LFM2-350M-Extract@int8,C0,MISSING,0.395,0.605,,0.89,0.833
LiquidAI/LFM2-350M-Extract@int8,C0,SUPPORTED,,,,0.972,0.972
LiquidAI/LFM2-350M-Extract@int8,C1,AMBIGUOUS,0.82,0.18,,0.84,0.708
LiquidAI/LFM2-350M-Extract@int8,C1,CONTRADICTORY,0.94,0.06,,0.88875,0.723
LiquidAI/LFM2-350M-Extract@int8,C1,DISTRACTOR,,,0.01,0.885,0.88
LiquidAI/LFM2-350M-Extract@int8,C1,MISSING,0.36,0.64,,0.95625,0.893
LiquidAI/LFM2-350M-Extract@int8,C1,SUPPORTED,,,,0.981,0.981
LiquidAI/LFM2-350M-Extract@int8,C2,AMBIGUOUS,0.93,0.07,,0.95875,0.781
LiquidAI/LFM2-350M-Extract@int8,C2,CONTRADICTORY,0.985,0.015,,0.92375,0.742
LiquidAI/LFM2-350M-Extract@int8,C2,DISTRACTOR,,,0.025,0.92125,0.915
LiquidAI/LFM2-350M-Extract@int8,C2,MISSING,0.31,0.69,,0.97375,0.917
