model,condition,challenge_type,false_fill_rate,null_recall,distractor_error_rate,supported_accuracy,field_faithfulness_rate
LiquidAI/LFM2-350M-Extract@robust-r1,C0,AMBIGUOUS,0.0,1.0,,0.0,0.2
LiquidAI/LFM2-350M-Extract@robust-r1,C0,CONTRADICTORY,0.0,1.0,,0.0,0.2
LiquidAI/LFM2-350M-Extract@robust-r1,C0,DISTRACTOR,,,0.0,0.0,0.0
LiquidAI/LFM2-350M-Extract@robust-r1,C0,MISSING,0.0,1.0,,0.0,0.2
LiquidAI/LFM2-350M-Extract@robust-r1,C0,SUPPORTED,,,,0.0,0.0
LiquidAI/LFM2-350M-Extract@robust-r1,C3,AMBIGUOUS,0.99,0.01,,0.98875,0.793
LiquidAI/LFM2-350M-Extract@robust-r1,C3,CONTRADICTORY,0.98,0.02,,0.94875,0.763
LiquidAI/LFM2-350M-Extract@robust-r1,C3,DISTRACTOR,,,0.02,0.925,0.916
LiquidAI/LFM2-350M-Extract@robust-r1,C3,MISSING,0.12,0.88,,0.96875,0.951
LiquidAI/LFM2-350M-Extract@robust-r1,C3,SUPPORTED,,,,0.98,0.98
LiquidAI/LFM2-350M-Extract@robust-r2,C0,AMBIGUOUS,0.0,1.0,,0.0,0.2
LiquidAI/LFM2-350M-Extract@robust-r2,C0,CONTRADICTORY,0.0,1.0,,0.0,0.2
LiquidAI/LFM2-350M-Extract@robust-r2,C0,DISTRACTOR,,,0.0,0.0,0.0
LiquidAI/LFM2-350M-Extract@robust-r2,C0,MISSING,0.0,1.0,,0.0,0.2
LiquidAI/LFM2-350M-Extract@robust-r2,C0,SUPPORTED,,,,0.0,0.0
LiquidAI/LFM2-350M-Extract@robust-r2,C3,AMBIGUOUS,0.995,0.005,,0.98875,0.792
LiquidAI/LFM2-350M-Extract@robust-r2,C3,CONTRADICTORY,0.97,0.03,,0.93875,0.757
LiquidAI/LFM2-350M-Extract@robust-r2,C3,DISTRACTOR,,,0.01,0.93,0.924
LiquidAI/LFM2-350M-Extract@robust-r2,C3,MISSING,0.12,0.88,,0.97375,0.955
LiquidAI/LFM2-350M-Extract@robust-r2,C3,SUPPORTED,,,,0.981,0.981
LiquidAI/LFM2-350M-Extract@robust-r3,C0,AMBIGUOUS,0.0,1.0,,0.0,0.2
LiquidAI/LFM2-350M-Extract@robust-r3,C0,CONTRADICTORY,0.0,1.0,,0.0,0.2
LiquidAI/LFM2-350M-Extract@robust-r3,C0,DISTRACTOR,,,0.0,0.0,0.0
LiquidAI/LFM2-350M-Extract@robust-r3,C0,MISSING,0.0,1.0,,0.0,0.2
LiquidAI/LFM2-350M-Extract@robust-r3,C0,SUPPORTED,,,,0.0,0.0
LiquidAI/LFM2-350M-Extract@robust-r3,C3,AMBIGUOUS,0.995,0.005,,0.985,0.789
LiquidAI/LFM2-350M-Extract@robust-r3,C3,CONTRADICTORY,0.965,0.035,,0.945,0.763
LiquidAI/LFM2-350M-Extract@robust-r3,C3,DISTRACTOR,,,0.01,0.9025,0.898
LiquidAI/LFM2-350M-Extract@robust-r3,C3,MISSING,0.1,0.9,,0.97375,0.959
LiquidAI/LFM2-350M-Extract@robust-r3,C3,SUPPORTED,,,,0.979,0.979
LiquidAI/LFM2.5-230M@robust-r1,C0,AMBIGUOUS,1.0,0.0,,0.9625,0.77
LiquidAI/LFM2.5-230M@robust-r1,C0,CONTRADICTORY,1.0,0.0,,0.9875,0.79
LiquidAI/LFM2.5-230M@robust-r1,C0,DISTRACTOR,,,0.0,0.98125,0.981
LiquidAI/LFM2.5-230M@robust-r1,C0,MISSING,0.245,0.755,,0.97,0.927
LiquidAI/LFM2.5-230M@robust-r1,C0,SUPPORTED,,,,0.993,0.993
LiquidAI/LFM2.5-230M@robust-r1,C3,AMBIGUOUS,0.535,0.465,,0.53125,0.518
LiquidAI/LFM2.5-230M@robust-r1,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
LiquidAI/LFM2.5-230M@robust-r1,C3,DISTRACTOR,,,0.0,0.50375,0.503
LiquidAI/LFM2.5-230M@robust-r1,C3,MISSING,0.13,0.87,,0.52375,0.593
LiquidAI/LFM2.5-230M@robust-r1,C3,SUPPORTED,,,,0.96,0.96
LiquidAI/LFM2.5-230M@robust-r2,C0,AMBIGUOUS,1.0,0.0,,0.95875,0.767
LiquidAI/LFM2.5-230M@robust-r2,C0,CONTRADICTORY,1.0,0.0,,0.99,0.792
LiquidAI/LFM2.5-230M@robust-r2,C0,DISTRACTOR,,,0.0,0.97125,0.972
LiquidAI/LFM2.5-230M@robust-r2,C0,MISSING,0.245,0.755,,0.96875,0.926
LiquidAI/LFM2.5-230M@robust-r2,C0,SUPPORTED,,,,0.994,0.994
LiquidAI/LFM2.5-230M@robust-r2,C3,AMBIGUOUS,0.57,0.43,,0.56375,0.537
LiquidAI/LFM2.5-230M@robust-r2,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
LiquidAI/LFM2.5-230M@robust-r2,C3,DISTRACTOR,,,0.0,0.49875,0.498
